Player,Cash Spent
Justin Tucker,"$7,250,000"
Chris Boswell,"$4,040,000"
Harrison Butker,"$3,700,000"
Cairo Santos,"$6,300,000"
Younghoe Koo,"$3,500,000"
Graham Gano,"$6,250,000"
Daniel Carlson,"$3,450,000"
Ka'imi Fairbairn,"$3,650,000"
Jake Elliott,"$4,245,000"
Matt Gay,"$9,080,000"
Jason Myers,"$8,665,000"
Matt Prater,"$4,000,000"
Greg Zuerlein,"$3,329,412"
Jason Sanders,"$3,375,000"
Dustin Hopkins,"$2,895,441"
Joey Slye,"$1,850,000"
Nick Folk,"$2,200,000"
Tyler Bass,"$6,110,000"
Brandon McManus,"$2,000,000"
Greg Joseph,"$2,000,000"
Wil Lutz,"$1,700,000"
Eddy Pineiro,"$2,100,000"
Evan McPherson,"$940,000"
Chase McLaughlin,"$1,130,000"
Jake Moody,"$1,607,512"
Chad Ryland,"$1,536,748"
Cameron Dicker,"$870,000"
Anders Carlson,"$906,776"
Blake Grupe,"$752,500"
Brandon Aubrey,"$750,000"
Daniel Whelan,"$750,000"
Randy Bullock,"$358,889"
Mason Crosby,"$194,166"
Riley Patterson,"$104,444"
Michael Badgley,"$120,000"
Cade York,"$84,000"
Austin Seibert,"$72,822"
Matthew Wright,"$56,111"
Brett Maher,"$60,000"
